student_id,student_number,display_name,grade,venue,advisor,line_status,school,status,login_id,password
STU-V2-001,12345678,佐藤太郎,高3,A校,田中太郎,登録済,サンプル高校A,active,12345678,abcdefgh
STU-V2-014,12345679,佐藤二郎,高3,A校,田中太郎,未登録,サンプル高校B,active,12345679,abcdefgh
STU-V2-021,12345680,佐藤三郎,高3,A校,鈴木花子,登録済,サンプル高校C,active,12345680,abcdefgh
STU-V2-027,12345681,佐藤花子,高3,A校,鈴木花子,登録済,サンプル高校D,active,12345681,abcdefgh
STU-V2-033,12345682,佐藤四郎,高3,A校,田中太郎,未登録,サンプル高校E,active,12345682,abcdefgh
STU-V2-041,12345683,佐藤五郎,高2,B校,佐藤次郎,登録済,サンプル高校F,active,12345683,abcdefgh
STU-V2-052,12345684,佐藤六郎,高3,C校,高橋三郎,登録済,サンプル高校G,active,12345684,abcdefgh
STU-V2-072,12345685,佐藤七郎,高2,A校,田中太郎,登録済,サンプル高校H,active,12345685,abcdefgh
STU-V2-073,12345686,佐藤八郎,高2,A校,鈴木花子,未登録,サンプル高校I,active,12345686,abcdefgh
STU-V2-101,,体験太郎,高2,A校,田中太郎,未登録,サンプル高校D,active,taro@example.com,abcdefgh
STU-V2-102,,体験花子,高1,B校,鈴木花子,未登録,サンプル高校E,active,hanako@example.com,abcdefgh
STU-V2-103,,体験次郎,高1,A校,田中太郎,未登録,サンプル高校F,active,jiro@example.com,abcdefgh
